ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99913867;BE;Umbau eines Stöcklis, Neubau Carport         ;3; ; ;26.10.2006;25.01.2007;0.065;0.065;1;1;2;1;0;14;174;;;;;;;;
99925446;BE;Umbau eines Stalles         ;3; ; ;15.01.2007; ;0.09;0.09;1;0;1;0;0;43;;;;;;;;;
99925444;BE;Einbau Personalwohnung bei Werkstattgebäude;3; ; ;17.01.2007; ;0.09;0.09;1;1;1;0;0;14;;;;;;;;;
99924570;BE;Umbau und Sanierung eines Einfamilienhauses;3; ; ;11.01.2007; ;0.3;0.3;1;1;2;0;0;14;;;;;;;;;
99923059;BE;Umbau eines Stöcklis         ;3; ; ;03.01.2007; ;0.1;0.1;1;2;2;0;0;14;;;;;;;;;
99923068;BE;Neubau eines Einfamilienhauses mit integrierter Garage;1; ; ;07.01.2007; ;0.55;0.55;1;1;1;1;0;14;;;;;;;;;
99923063;BE;Neubau eines Fahrzeugunterstandes;1; ; ;02.01.2007; ;0.03;0.03;1;0;0;0;0;174;;;;;;;;;
99919713;BE;Umbau Bauernhaus und Anbau Heizraum         ;2;Feb 07;Apr 07;06.12.2006;30.01.2007;0.09;0.09;1;1;2;0;0;14;;;;;;;;;
99926687;BE;Neubau eines Einfamilienhauses mit Garage;1; ; ;23.01.2007; ;0.425;0.425;1;1;2;1;0;14;139;;;;;;;;
99916413;BE;Erweiterung eines Einfamilienhauses;2;Apr 07;Aug 07;14.11.2006;10.01.2007;0.18;0.18;1;1;1;1;0;14;;;;;;;;;
99922854;BE;Umbau eines Verkaufsladens                       ;3; ; ;04.01.2007; ;0.22;0.22;1;0;1;0;0;61;;;;;;;;;
99922853;BE;Einbau Cheminéeofen mit Kamin bei Einfamilienhaus;3; ; ;02.01.2007; ;0.03;0.03;1;1;0;0;0;14;;;;;;;;;
99922852;BE;Neubau Einfamilienhaus mit Autountertand und Schwimmbecken;1; ; ;07.01.2007; ;0.88;0.88;1;1;2;1;0;14;173;174;;;;;;;
99922840;BE;Neubau Gemeinschaftsgrab udn Mergelweg                                  ;2; ; ;03.01.2007; ;0.1;0.1;0;0;0;0;0;153;242;;;;;;;;
99922839;BE;Neubau/Wiederaufbau Hocheinfahrt, Neubau Stall und Jauchegrube          ;1; ; ;04.01.2007; ;0.55;0.55;1;0;1;0;0;41;43;48;;;;;;;
99922838;BE;Neubau eines Einfamilienhauses mit Autounterstand;1; ; ;07.01.2007; ;0.43;0.43;1;1;0;1;0;14;174;;;;;;;;
99917614;BE;Erweiterung und Umbau eines Einfamilienhauses;2;Mai 07; ;20.11.2006;17.01.2007;0.35;0.35;1;1;2;0;0;14;;;;;;;;;
99914364;BE;Neubau eines Einfamilienhauses mit Autounterstand           ;1;Feb 07;Aug 07;31.10.2006;03.01.2007;0.68;0.68;1;1;1;1;0;14;174;;;;;;;;
99916417;BE;Neubau Lager- und Werkhalle, Umbau/Neuanordnung Parkplätze;1;Feb 07;Feb 08;16.11.2006;08.01.2007;1;2;1;0;1;0;0;31;37;175;;;;;;;
99914362;BE;Umbau Einfamilienhaus und Erweiterung Unterstand;3;Jan 07;Jul 07;01.11.2006;03.01.2007;0.35;0.35;1;1;2;0;0;14;174;;;;;;;;
99914361;BE;Neubau eines Einfamilienhauses mit Autounterstand;1;Jan 07;Aug 07;02.11.2006;25.01.2007;0.45;0.45;1;1;2;1;0;14;174;;;;;;;;
99914354;BE;Neubau von 7 Minergie-Einfamilienhäusern;1; ; ;02.11.2006;07.01.2007;2.5;2.5;7;7;2;1;0;14;;;;;;;;;
99914352;BE;Abbruch Bürogebäude, Heizzentrale mit Hochkamin und Schöpfe;5; ; ;30.10.2006;07.01.2007;0.35;0.35;10;0;0;0;0;51;64;;;;;;;;
99915350;BE;Erweiterung eines Laufstalles, Neubau Jauchegrube         ;2;Feb 07;Mai 07;07.11.2006;07.01.2007;0.13;0.13;1;0;1;0;0;43;48;;;;;;;;
99915348;BE;Umbau und Fassadensanierung bei Einfamilienhaus;3; ; ;09.11.2006;18.01.2007;0.3;0.3;1;1;0;0;0;14;;;;;;;;;
99909758;BE;Umbau und Sanierung eines Mehrfamilienhauses;3;Feb 07;Aug 07;05.10.2006;08.01.2007;0.9;0.9;1;4;2;0;0;12;;;;;;;;;
99913243;BE;Neubau eines Palettenlagers;1; ; ;23.10.2006;08.01.2007;4;4;1;0;1;0;0;31;;;;;;;;;
99913242;BE;Erweiterung/Umbau Schweinestall und Werkstatt in Remise/Stall           ;3; ; ;24.10.2006;18.01.2007;0.07;0.07;1;0;2;0;0;41;43;;;;;;;;
99913872;BE;Abbruch Lagerhalle und Silos;5; ; ;23.10.2006;08.01.2007;0.05;0.05;2;0;0;0;0;31;34;;;;;;;;
99848105;BE;Abbruch Einkaufszentrum, Einfamilienhäuser und Parkplätze;5;Jan 07;Mrz 07;17.10.2005;16.01.2007;0.7;0.7;3;0;0;0;0;14;61;175;;;;;;;
99848103;BE;Neubau Migros Markt, Restaurant, Einstellhalle/Unterstände              ;1;Mrz 07;Nov 08;17.10.2005;16.01.2007;25;25;1;0;2;2;25;61;62;111;131;174;175;;;;
99848102;BE;Umbau einer Strasse;3; ; ;18.10.2005;07.01.2007;0.8;0.8;0;0;0;0;0;211;311;321;323;;;;;;
99927630;BE;Umbau und Erweiterung Mobilfunkanlage;2; ; ;29.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99927511;BE;Umbau und Sanierung eines Bauernhauses                       ;3; ; ;30.01.2007; ;0.5;0.5;1;3;3;0;0;12;;;;;;;;;
99926688;BE;Erweiterung und Umbau Wohnstock         ;2; ; ;22.01.2007; ;0.33;0.33;1;2;2;1;0;14;;;;;;;;;
99925063;BE;Umbau einer Wohnung bei Mehrfamilienhaus;3; ; ;16.01.2007; ;0.12;0.12;1;1;1;0;0;14;;;;;;;;;
99925064;BE;Erweiterung eines Veloraumes;2; ; ;15.01.2007; ;0.02;0.02;1;0;1;0;0;174;;;;;;;;;
99925061;BE;Anbau einer Garage;2; ; ;16.01.2007; ;0.03;0.03;1;0;0;0;0;139;;;;;;;;;
99924137;BE;Umbau eines Mehrfamilienhauses und Neubau von 6 Autoabstellplätzen;3; ; ;11.01.2007; ;0.06;0.06;1;0;4;0;6;12;;;;;;;;;
99924139;BE;Einbau 6 Gästezimmer bei Saal;3; ; ;08.01.2007; ;0.08;0.08;1;0;1;0;0;112;;;;;;;;;
99925065;BE;Einbau einer Wohnung bei Einfamilienhaus;3; ; ;18.01.2007; ;0.2;0.2;1;1;1;0;0;14;;;;;;;;;
99919736;BE;Neubau Erschliessungsstrasse und Trafostation                           ;1;Mrz 07;Mrz 08;05.12.2006;30.01.2007;1.25;1.25;0;0;0;0;0;211;311;321;323;651;;;;;
99920240;BE;Erweiterung eines Einfamilienhauses und Garage;2;Feb 07;Jun 07;07.12.2006;30.01.2007;0.22;0.22;1;1;0;0;0;14;139;;;;;;;;
99740559;BE;Neubau zwei MFH mit Garagen und Aussenschwimmbad                        ;1; ; ;08.01.2007; ;9;9;2;6;3;1;0;12;139;173;;;;;;;
99723740;BE;Neubau eines Bärenparkes;1; ; ;29.01.2007; ;7;7;1;0;0;0;0;61;128;173;;;;;;;
